Operation_Type,Workpiece_Material,Material_Hardness_HB,Tool_Diameter_mm,Number_of_Flutes,Tool_Coating,Tool_Wear_VB_mm,Rake_Angle_deg,Cutting_Speed_vc_mpm,Spindle_Speed_RPM,Feed_Rate_mm_rev,Axial_Depth_ap_mm,Radial_Depth_ae_mm,Feed_Speed_vf_mmpm,Coolant_Condition,Coolant_Flow_Rate_Lpm,Material_Removal_Rate_cm3_min,Cutting_Temperature_C,Cutting_Force_Fc_N,Spindle_Power_kW,Feed_Power_kW,Auxiliary_Power_kW,Cutting_Power_kW,Power_Consumption_kW,Specific_Energy_J_mm3,Carbon_Emission_Rate_kgCO2e_hr,Specific_Carbon_Emission_gCO2e_cm3
CNC Milling,AISI 1045 Steel,200.1,32.0,6,AlCrN,0.12,5.0,152.07,1512.6,0.1651,2.34,26.77,1498.1,Cryogenic (LN2),2.29,94.034,109.0,1650.09,0.991,0.39,1.35,4.823,7.788,4.97,4.4211,0.784
CNC Milling,Al 6061-T6 Aluminum,113.4,6.0,2,AlCrN,0.038,-3.6,290.03,15386.5,0.0873,0.52,3.07,2685.0,Cryogenic (LN2),3.1,4.267,45.0,45.0,14.062,0.58,1.35,0.252,15.575,218.99,8.1041,31.65
CNC Milling,Inconel 718 Superalloy,431.8,25.0,4,TiCN,0.45,1.6,91.05,1159.3,0.2002,4.38,11.82,928.5,Flood Coolant,33.67,48.081,659.6,4500.0,0.849,0.299,1.85,8.084,10.672,13.32,5.6689,1.965
CNC Milling,Al 6061-T6 Aluminum,100.8,10.0,4,AlCrN,0.007,8.6,304.38,9688.6,0.1663,1.89,5.41,6444.1,MQL (Min Lubrication),0.1,65.871,88.1,169.57,6.924,1.181,0.85,0.984,10.549,9.61,5.1418,1.301
CNC Turning,AISI 304 Stainless Steel,202.7,24.29,1,TiCN,0.083,-0.1,111.77,1464.7,0.3283,3.46,0.33,480.9,MQL (Min Lubrication),0.21,127.047,330.3,3565.95,0.971,0.227,0.85,7.882,9.403,4.44,4.6105,0.605
CNC Turning,Ti-6Al-4V Titanium,333.0,98.78,1,AlCrN,0.222,3.0,74.73,250.0,0.2802,3.76,0.28,70.0,Flood Coolant,24.16,78.615,372.6,4800.0,0.527,0.161,1.85,7.114,9.566,7.3,5.0883,1.079
CNC Turning,Inconel 718 Superalloy,407.2,67.78,1,TiAlN,0.151,2.9,108.15,507.9,0.1304,2.85,0.13,66.2,Flood Coolant,24.66,40.148,305.0,2531.99,0.612,0.161,1.85,5.316,7.421,11.09,4.0534,1.683
CNC Turning,AISI 304 Stainless Steel,217.7,83.16,1,Uncoated Carbide,0.302,2.5,193.0,738.7,0.1206,3.74,0.12,89.1,Dry,0.0,86.949,744.4,4464.84,0.692,0.164,0.5,16.442,18.036,12.45,8.6802,1.664
CNC Milling,Al 6061-T6 Aluminum,103.6,16.0,4,AlCrN,0.098,8.3,207.64,4130.9,0.0832,1.45,11.76,1374.1,Flood Coolant,30.72,23.386,57.7,154.68,2.338,0.37,1.85,0.614,4.782,12.27,2.7885,1.987
CNC Milling,AISI 1045 Steel,215.0,6.0,4,Uncoated Carbide,0.313,7.8,205.13,10882.4,0.218,2.11,1.59,9489.7,MQL (Min Lubrication),0.14,31.839,332.6,547.18,8.215,1.668,0.85,2.199,13.025,24.55,6.3827,3.341
CNC Milling,AISI 1045 Steel,197.5,10.0,4,TiAlN,0.213,-1.6,160.38,5105.0,0.1095,3.14,2.81,2236.4,Cryogenic (LN2),3.54,19.752,82.2,365.92,2.972,0.508,1.35,1.103,6.147,18.67,3.6618,3.09
CNC Milling,Al 6061-T6 Aluminum,96.6,10.0,4,Uncoated Carbide,0.216,-2.3,324.1,10316.4,0.073,1.21,3.38,3012.7,Dry,0.0,12.301,126.9,96.8,7.589,0.632,0.5,0.59,8.877,43.3,4.3097,5.839
CNC Milling,Al 6061-T6 Aluminum,94.2,16.0,5,TiAlN,0.064,8.7,190.34,3786.6,0.1172,0.77,13.33,2218.4,Flood Coolant,33.74,22.751,61.9,143.67,2.131,0.505,1.85,0.545,5.147,13.57,2.9554,2.165
CNC Milling,Al 6061-T6 Aluminum,104.6,8.0,4,TiAlN,0.009,5.5,387.53,15419.1,0.0498,2.28,2.16,3073.7,Flood Coolant,34.39,15.15,45.0,45.0,14.11,0.642,1.85,0.35,17.507,69.33,8.8168,9.699
CNC Milling,Inconel 718 Superalloy,377.2,8.0,3,TiCN,0.45,3.2,103.17,4105.2,0.0486,2.49,1.18,598.8,MQL (Min Lubrication),0.09,1.762,276.1,126.14,2.322,0.246,0.85,0.245,3.556,121.06,1.9186,18.144
CNC Milling,AISI 1045 Steel,204.1,20.0,4,AlCrN,0.209,7.6,136.61,2174.3,0.2186,2.84,17.98,1900.8,Flood Coolant,26.14,97.064,246.9,2338.52,1.282,0.454,1.85,6.407,9.967,6.16,5.2755,0.906
CNC Turning,AISI 1045 Steel,206.4,52.84,1,Uncoated Carbide,0.043,7.6,184.3,1110.2,0.2258,0.86,0.23,250.6,Flood Coolant,24.72,35.83,125.0,505.09,0.83,0.19,1.85,1.863,4.298,7.2,2.5481,1.185
CNC Turning,Inconel 718 Superalloy,430.3,107.3,1,TiCN,0.028,4.7,82.4,250.0,0.1535,1.34,0.15,38.4,Flood Coolant,29.11,16.893,145.3,895.32,0.527,0.156,1.85,1.434,3.966,14.09,2.3879,2.356
CNC Milling,AISI 1045 Steel,219.6,6.0,3,Uncoated Carbide,0.217,-1.9,226.6,12021.3,0.0455,2.53,2.44,1640.2,Dry,0.0,10.119,220.2,299.21,9.548,0.412,0.5,1.272,11.505,68.22,5.5581,9.155
CNC Turning,Ti-6Al-4V Titanium,338.4,108.88,1,Uncoated Carbide,0.058,5.6,47.67,250.0,0.0883,3.06,0.09,22.1,Flood Coolant,32.51,12.881,119.2,1381.22,0.527,0.154,1.85,1.319,3.854,17.95,2.3401,3.028
CNC Turning,AISI 304 Stainless Steel,223.9,88.05,1,TiCN,0.012,2.1,127.19,459.8,0.1812,2.79,0.18,83.3,Cryogenic (LN2),3.15,64.314,92.7,1360.52,0.596,0.163,1.35,3.317,5.565,5.19,3.3449,0.867
CNC Milling,AISI 1045 Steel,204.4,6.0,4,AlCrN,0.125,1.3,213.16,11308.3,0.0915,0.79,2.25,4139.0,Dry,0.0,7.305,153.3,107.98,8.702,0.812,0.5,0.447,10.28,84.44,4.9557,11.307
CNC Milling,AISI 1045 Steel,226.6,10.0,4,Uncoated Carbide,0.199,4.0,245.11,7802.0,0.0558,3.05,5.19,1740.5,Flood Coolant,34.14,27.552,159.0,574.25,5.104,0.428,1.85,2.642,10.529,22.93,5.5402,3.351
CNC Milling,AISI 304 Stainless Steel,201.4,8.0,4,TiAlN,0.121,7.2,102.66,4084.6,0.0438,3.45,5.47,715.9,Flood Coolant,16.05,13.513,124.6,585.72,2.309,0.265,1.85,1.137,5.337,23.7,3.057,3.77
CNC Turning,Al 6061-T6 Aluminum,94.5,40.72,1,Uncoated Carbide,0.021,7.0,438.07,3424.2,0.1838,1.51,0.18,629.4,Flood Coolant,31.44,121.687,89.6,319.5,1.923,0.251,1.85,2.658,6.66,3.28,3.6663,0.502
CNC Turning,Al 6061-T6 Aluminum,107.0,76.12,1,AlCrN,0.08,7.8,176.74,739.1,0.1803,0.96,0.18,133.3,Flood Coolant,33.97,30.617,70.1,204.05,0.692,0.171,1.85,0.718,3.567,6.99,2.2078,1.202
CNC Milling,Ti-6Al-4V Titanium,335.7,32.0,5,TiAlN,0.24,9.2,80.56,801.3,0.1989,2.37,13.38,797.1,Flood Coolant,30.39,25.316,262.4,1311.41,0.715,0.278,1.85,2.117,4.958,11.75,2.9036,1.912
CNC Milling,AISI 304 Stainless Steel,222.1,32.0,6,TiAlN,0.05,-2.1,181.78,1808.2,0.0622,4.14,7.12,675.2,MQL (Min Lubrication),0.09,19.924,157.2,295.54,1.117,0.258,0.85,1.022,3.178,9.57,1.6476,1.378
CNC Turning,AISI 1045 Steel,200.0,30.65,1,AlCrN,0.091,-4.3,132.43,1375.5,0.3359,1.31,0.34,462.0,Flood Coolant,22.47,58.452,169.5,1134.75,0.935,0.224,1.85,2.885,5.913,6.07,3.3244,0.948
CNC Milling,AISI 1045 Steel,196.6,6.0,3,TiCN,0.164,-4.3,130.65,6931.2,0.0678,2.01,4.2,1410.4,Flood Coolant,31.96,11.92,101.0,397.1,4.355,0.376,1.85,1.011,7.496,37.73,4.0916,5.721
CNC Milling,AISI 304 Stainless Steel,229.0,6.0,3,AlCrN,0.107,-5.9,216.44,11482.3,0.1843,0.65,0.77,6348.3,Dry,0.0,3.217,165.9,45.0,8.905,1.166,0.5,0.195,11.219,209.26,5.3981,27.97
CNC Turning,AISI 1045 Steel,228.1,84.97,1,AlCrN,0.038,9.0,279.7,1047.8,0.3968,2.67,0.4,415.8,MQL (Min Lubrication),0.09,296.06,298.4,2017.43,0.806,0.217,0.85,11.207,12.769,2.59,6.2011,0.349
CNC Turning,AISI 1045 Steel,196.9,35.62,1,TiAlN,0.079,1.3,251.3,2245.6,0.3226,3.7,0.32,724.5,Flood Coolant,23.77,299.778,268.7,2952.0,1.315,0.266,1.85,14.351,18.49,3.7,9.2964,0.517
CNC Turning,AISI 304 Stainless Steel,209.7,55.95,1,TiCN,0.158,5.3,235.09,1337.5,0.2224,3.43,0.22,297.4,MQL (Min Lubrication),0.16,179.445,487.1,3097.88,0.919,0.198,0.85,14.018,15.646,5.23,7.5919,0.705
CNC Turning,AISI 304 Stainless Steel,200.2,79.46,1,TiAlN,0.083,6.0,90.39,362.1,0.1444,2.24,0.14,52.3,Flood Coolant,27.92,29.17,134.1,1109.63,0.564,0.158,1.85,1.895,4.591,9.44,2.6949,1.54
CNC Turning,AISI 1045 Steel,207.7,109.51,1,AlCrN,0.079,-1.3,155.17,451.0,0.2693,2.51,0.27,121.5,Dry,0.0,104.953,304.9,2104.44,0.593,0.169,0.5,6.478,7.87,4.5,3.8019,0.604
CNC Milling,Ti-6Al-4V Titanium,324.6,12.0,3,TiAlN,0.084,-5.5,122.39,3246.5,0.2043,4.5,5.74,1989.9,Flood Coolant,20.66,51.347,230.9,1461.09,1.824,0.468,1.85,3.513,7.921,9.26,4.2772,1.388
CNC Turning,AISI 304 Stainless Steel,210.8,37.03,1,TiCN,0.106,3.0,71.48,614.5,0.2435,2.83,0.24,149.6,Cryogenic (LN2),5.29,49.176,121.8,2228.56,0.649,0.174,1.35,3.071,4.873,5.95,3.0336,1.028
CNC Milling,AISI 1045 Steel,206.3,32.0,5,TiAlN,0.041,1.1,110.91,1103.3,0.072,1.32,21.8,397.1,Flood Coolant,33.86,11.436,70.2,298.32,0.827,0.214,1.85,0.633,3.543,18.59,2.1894,3.191
CNC Turning,Inconel 718 Superalloy,402.8,94.78,1,TiAlN,0.088,-1.9,89.78,301.5,0.371,0.62,0.37,111.9,Dry,0.0,20.629,412.5,1349.53,0.544,0.168,0.5,2.297,3.298,9.59,1.6317,1.318
CNC Milling,AISI 1045 Steel,205.2,16.0,4,Uncoated Carbide,0.195,4.1,241.77,4809.8,0.0538,2.86,12.08,1035.8,Dry,0.0,35.732,312.0,1006.28,2.772,0.316,0.5,4.668,8.763,14.71,4.2505,1.983
CNC Turning,Al 6061-T6 Aluminum,102.1,75.2,1,TiCN,0.077,2.0,220.74,934.4,0.1464,2.88,0.15,136.8,Flood Coolant,15.88,93.014,93.5,580.04,0.763,0.172,1.85,2.49,5.105,3.29,2.9379,0.526
CNC Milling,AISI 1045 Steel,207.9,6.0,2,TiAlN,0.1,-4.0,116.3,6170.1,0.1382,1.8,0.93,1705.2,Dry,0.0,2.855,99.1,54.55,3.748,0.423,0.5,0.124,5.011,105.31,2.4479,14.291
CNC Milling,Al 6061-T6 Aluminum,106.3,8.0,4,Uncoated Carbide,0.044,-4.2,329.13,13095.7,0.1163,3.01,2.19,6091.6,Flood Coolant,24.29,40.223,68.5,137.1,10.896,1.125,1.85,0.892,13.939,20.79,7.1277,2.953
CNC Milling,AISI 1045 Steel,196.1,6.0,4,TiAlN,0.051,-5.0,112.72,5980.1,0.084,2.38,3.06,2008.6,Flood Coolant,30.33,14.623,94.9,354.04,3.603,0.471,1.85,0.793,6.096,25.01,3.4036,3.879
CNC Milling,Al 6061-T6 Aluminum,109.0,12.0,5,TiAlN,0.056,-0.6,256.28,6798.0,0.1372,3.09,5.86,4664.3,Flood Coolant,23.13,84.454,78.0,375.54,4.246,0.896,1.85,1.903,8.348,5.93,4.4743,0.883
CNC Turning,AISI 304 Stainless Steel,202.7,105.47,1,TiAlN,0.099,-5.6,74.72,250.0,0.367,1.16,0.37,91.8,Dry,0.0,31.924,302.4,1778.83,0.527,0.165,0.5,2.642,3.614,6.79,1.7839,0.931
CNC Turning,Al 6061-T6 Aluminum,96.4,34.37,1,TiAlN,0.059,8.5,204.38,1893.0,0.0628,2.91,0.06,118.8,Flood Coolant,30.67,37.301,50.8,273.7,1.154,0.169,1.85,1.122,4.363,7.02,2.5819,1.154
CNC Milling,AISI 304 Stainless Steel,200.9,10.0,5,Uncoated Carbide,0.107,0.2,195.48,6222.2,0.0888,3.75,2.25,2763.6,Flood Coolant,15.16,23.387,130.4,362.52,3.788,0.592,1.85,1.422,7.598,19.49,4.1281,2.942
CNC Milling,AISI 1045 Steel,223.2,8.0,3,TiAlN,0.136,-2.4,201.62,8022.2,0.0663,2.0,2.33,1595.2,Dry,0.0,7.426,164.7,140.26,5.302,0.405,0.5,0.532,6.726,54.34,3.2699,7.339
CNC Milling,Al 6061-T6 Aluminum,106.2,32.0,4,TiCN,0.075,4.9,189.33,1883.3,0.1168,1.23,12.85,879.8,Flood Coolant,25.97,13.961,58.9,76.83,1.15,0.291,1.85,0.291,3.553,15.27,2.2003,2.627
CNC Milling,AISI 1045 Steel,208.7,8.0,3,TiCN,0.146,-5.0,245.85,9782.0,0.1301,0.95,4.13,3818.8,Flood Coolant,16.69,15.026,138.1,199.45,7.021,0.761,1.85,0.958,10.08,40.25,5.3152,5.895
CNC Milling,Inconel 718 Superalloy,402.8,10.0,4,AlCrN,0.069,-2.6,95.42,3037.3,0.0839,2.58,8.03,1019.5,Flood Coolant,31.03,21.147,174.6,1205.15,1.712,0.313,1.85,2.171,5.537,15.71,3.1417,2.476
CNC Turning,AISI 1045 Steel,183.7,35.55,1,Uncoated Carbide,0.05,2.5,171.66,1537.0,0.2787,0.67,0.28,428.4,Flood Coolant,32.22,32.053,132.6,479.03,1.001,0.219,1.85,1.647,4.66,8.72,2.7212,1.415
CNC Milling,AISI 304 Stainless Steel,190.2,12.0,4,AlCrN,0.039,7.0,199.16,5283.0,0.0593,0.76,7.26,1252.6,Flood Coolant,33.12,6.923,85.1,96.37,3.095,0.35,1.85,0.369,5.91,51.22,3.3132,7.976
CNC Milling,Al 6061-T6 Aluminum,93.2,12.0,3,TiAlN,0.078,5.7,228.66,6065.4,0.0635,1.67,2.6,1155.9,Flood Coolant,26.91,5.037,45.0,45.0,3.668,0.335,1.85,0.203,6.013,71.62,3.3692,11.147
CNC Milling,AISI 304 Stainless Steel,197.9,6.0,3,TiAlN,0.076,-3.0,98.21,5210.2,0.1184,0.51,1.78,1850.4,Flood Coolant,27.73,1.682,62.4,45.0,3.045,0.446,1.85,0.088,5.037,179.66,2.9054,28.787
CNC Milling,AISI 1045 Steel,223.5,6.0,3,TiAlN,0.098,6.2,257.14,13641.5,0.0864,0.5,4.97,3536.8,Flood Coolant,32.26,8.854,108.1,117.95,11.614,0.716,1.85,0.603,14.807,100.35,7.5506,14.214
CNC Milling,Al 6061-T6 Aluminum,97.6,8.0,3,TiAlN,0.053,6.7,202.34,8050.9,0.2104,1.22,3.13,5081.5,Flood Coolant,31.21,19.459,55.5,75.88,5.328,0.963,1.85,0.301,8.27,25.5,4.437,3.8
CNC Turning,Al 6061-T6 Aluminum,101.1,85.16,1,TiAlN,0.006,5.0,325.86,1218.0,0.3925,2.01,0.39,478.0,Flood Coolant,17.59,257.478,99.7,647.02,0.872,0.226,1.85,4.016,6.444,1.5,3.5616,0.231
CNC Milling,Inconel 718 Superalloy,405.0,25.0,4,TiCN,0.345,-4.6,85.11,1083.6,0.1459,1.19,6.4,632.2,Flood Coolant,18.29,4.806,260.7,376.27,0.82,0.251,1.85,0.63,3.405,42.5,2.1908,7.597
CNC Milling,AISI 304 Stainless Steel,197.1,32.0,5,Uncoated Carbide,0.132,2.5,82.06,816.3,0.1102,3.51,19.03,449.6,Flood Coolant,29.74,30.011,170.4,1569.16,0.72,0.222,1.85,2.522,5.162,10.32,2.9764,1.653
CNC Milling,AISI 304 Stainless Steel,196.4,32.0,6,TiCN,0.16,4.0,213.58,2124.5,0.1062,4.4,28.49,1353.3,MQL (Min Lubrication),0.14,169.764,430.8,3699.82,1.259,0.367,0.85,15.221,17.569,6.21,8.5058,0.835
CNC Milling,AISI 304 Stainless Steel,198.4,12.0,4,TiCN,0.027,1.1,96.8,2567.8,0.1996,3.95,7.74,2049.7,Dry,0.0,62.585,246.1,1879.42,1.471,0.478,0.5,3.564,5.932,5.69,2.8719,0.765
CNC Milling,AISI 1045 Steel,210.3,16.0,4,TiAlN,0.02,-4.4,258.73,5147.2,0.1414,4.46,11.24,2911.7,Cryogenic (LN2),3.0,145.927,88.6,1358.93,3.001,0.616,1.35,6.816,11.412,4.69,6.1236,0.699
CNC Turning,Al 6061-T6 Aluminum,96.3,55.67,1,TiAlN,0.028,7.8,306.41,1751.9,0.2698,0.7,0.27,472.7,Dry,0.0,57.56,105.1,208.16,1.092,0.226,0.5,1.238,3.137,3.27,1.5441,0.447
CNC Turning,AISI 304 Stainless Steel,208.2,21.84,1,TiAlN,0.192,-2.6,173.53,2529.0,0.346,0.95,0.35,875.1,MQL (Min Lubrication),0.23,57.242,421.5,1517.76,1.452,0.29,0.85,5.271,7.774,8.15,3.8598,1.124
CNC Turning,AISI 304 Stainless Steel,208.4,53.97,1,Uncoated Carbide,0.258,7.4,191.58,1129.9,0.0861,3.12,0.09,97.3,Flood Coolant,17.21,51.445,310.6,1950.4,0.837,0.166,1.85,7.054,9.656,11.26,5.1393,1.665
CNC Milling,AISI 304 Stainless Steel,207.0,6.0,2,Uncoated Carbide,0.297,6.0,145.34,7710.7,0.153,2.03,5.01,2359.2,MQL (Min Lubrication),0.14,24.048,383.0,1141.89,5.022,0.527,0.85,3.135,9.862,24.61,4.8765,3.38
CNC Milling,Al 6061-T6 Aluminum,98.2,16.0,3,Uncoated Carbide,0.025,9.5,224.54,4467.1,0.1689,4.27,11.15,2263.2,Dry,0.0,107.733,97.4,612.67,2.548,0.512,0.5,2.579,6.388,3.56,3.0879,0.478
CNC Milling,Inconel 718 Superalloy,399.3,6.0,3,Uncoated Carbide,0.223,6.7,70.32,3730.6,0.0742,2.18,1.81,830.7,Flood Coolant,29.09,3.275,154.5,294.81,2.098,0.283,1.85,0.393,4.706,86.22,2.7798,14.147
CNC Turning,Ti-6Al-4V Titanium,323.8,77.2,1,TiAlN,0.227,9.9,60.87,251.0,0.3387,3.52,0.34,85.0,Flood Coolant,20.42,72.463,364.7,4800.0,0.528,0.164,1.85,5.513,8.004,6.63,4.3471,1.0
CNC Turning,AISI 304 Stainless Steel,191.1,31.97,1,TiAlN,0.216,0.6,212.58,2116.6,0.2242,2.74,0.22,474.6,Cryogenic (LN2),4.22,130.672,231.4,2805.8,1.255,0.226,1.35,11.425,14.86,6.82,7.8015,0.995
CNC Milling,Al 6061-T6 Aluminum,96.7,32.0,4,AlCrN,0.086,2.3,198.32,1972.7,0.1968,3.75,5.13,1552.6,Cryogenic (LN2),5.61,29.824,45.0,91.6,1.19,0.398,1.35,0.351,3.524,7.09,2.3887,1.335
CNC Milling,Ti-6Al-4V Titanium,333.1,25.0,5,AlCrN,0.072,-2.6,108.74,1384.5,0.0943,2.95,21.58,652.8,Flood Coolant,24.3,41.584,177.8,1727.43,0.938,0.254,1.85,3.534,6.526,9.42,3.6121,1.448
CNC Milling,AISI 1045 Steel,215.6,8.0,2,Uncoated Carbide,0.255,1.1,96.9,3855.5,0.1767,2.75,4.29,1362.4,Flood Coolant,34.03,16.057,178.6,748.18,2.172,0.368,1.85,1.36,5.794,21.65,3.3037,3.429
CNC Turning,AISI 1045 Steel,211.1,60.23,1,TiAlN,0.185,2.0,194.31,1027.0,0.1266,2.66,0.13,130.0,Flood Coolant,31.13,65.537,217.8,1474.85,0.798,0.171,1.85,5.441,8.523,7.8,4.5843,1.166
CNC Turning,AISI 1045 Steel,216.0,83.83,1,TiAlN,0.008,8.9,244.42,928.1,0.3208,3.2,0.32,297.7,Flood Coolant,16.17,251.051,181.1,1892.34,0.761,0.198,1.85,9.14,11.923,2.85,6.1644,0.409
CNC Milling,AISI 304 Stainless Steel,212.6,25.0,5,Uncoated Carbide,0.145,7.2,129.52,1649.1,0.1218,4.07,7.63,1004.1,Flood Coolant,25.03,31.146,176.3,784.55,1.048,0.311,1.85,1.908,5.215,10.05,3.0042,1.608
CNC Milling,Al 6061-T6 Aluminum,101.6,32.0,5,TiAlN,0.026,1.9,323.18,3214.7,0.0645,4.45,7.75,1036.5,Cryogenic (LN2),4.26,35.742,45.0,98.31,1.807,0.316,1.35,0.602,4.04,6.78,2.6228,1.223
CNC Turning,AISI 304 Stainless Steel,213.5,55.79,1,TiAlN,0.245,-0.9,111.23,634.6,0.3858,1.2,0.39,244.8,Flood Coolant,16.73,51.624,335.5,2256.06,0.656,0.189,1.85,4.796,7.793,9.06,4.2511,1.372
CNC Milling,AISI 304 Stainless Steel,207.7,20.0,6,TiAlN,0.03,8.8,131.68,2095.7,0.1754,0.56,3.79,2205.0,Dry,0.0,4.701,114.9,63.68,1.246,0.503,0.5,0.157,2.437,31.1,1.212,4.296
CNC Milling,Inconel 718 Superalloy,379.3,6.0,2,AlCrN,0.07,-2.8,89.18,4731.3,0.0649,0.95,3.71,614.2,Flood Coolant,28.06,2.158,93.3,122.26,2.72,0.248,1.85,0.209,4.777,132.79,2.7809,21.473
CNC Milling,Al 6061-T6 Aluminum,101.0,32.0,4,AlCrN,0.025,8.0,167.01,1661.3,0.1163,2.58,14.52,773.1,Flood Coolant,28.32,28.943,45.0,143.88,1.053,0.274,1.85,0.471,3.611,7.48,2.2186,1.278
CNC Turning,Ti-6Al-4V Titanium,355.9,44.58,1,AlCrN,0.26,-0.2,136.25,972.9,0.3777,0.95,0.38,367.5,Flood Coolant,19.17,48.875,452.1,2088.54,0.778,0.209,1.85,5.441,7.896,9.69,4.3035,1.468
CNC Milling,AISI 1045 Steel,215.1,6.0,3,TiAlN,0.18,3.7,172.36,9143.7,0.1515,2.1,1.91,4155.0,Flood Coolant,17.95,16.687,130.7,258.9,6.37,0.815,1.85,0.843,9.36,33.65,4.9806,4.974
CNC Milling,AISI 1045 Steel,200.3,32.0,5,AlCrN,0.097,-0.7,172.64,1717.3,0.1035,0.55,11.76,888.4,Flood Coolant,32.07,5.715,87.2,77.2,1.077,0.292,1.85,0.265,3.709,38.94,2.2789,6.646
CNC Turning,AISI 1045 Steel,199.5,30.8,1,TiAlN,0.115,2.4,112.93,1166.9,0.2446,1.92,0.24,285.4,Flood Coolant,26.28,53.132,164.1,1381.87,0.852,0.196,1.85,3.032,5.892,6.65,3.3192,1.041
CNC Milling,AISI 1045 Steel,212.7,8.0,3,TiCN,0.208,9.9,210.91,8391.7,0.0945,3.1,6.95,2379.1,Flood Coolant,24.43,51.225,199.7,999.05,5.644,0.531,1.85,4.227,12.605,14.76,6.5284,2.124
CNC Milling,AISI 1045 Steel,199.7,8.0,4,AlCrN,0.118,8.6,196.16,7805.1,0.1084,0.98,6.02,3383.0,Dry,0.0,20.047,194.4,348.15,5.106,0.691,0.5,1.322,7.559,22.62,3.6617,3.044
CNC Milling,Ti-6Al-4V Titanium,344.3,20.0,5,AlCrN,0.23,-3.6,103.01,1639.5,0.1044,1.48,14.54,856.1,MQL (Min Lubrication),0.24,18.445,332.4,1229.26,1.044,0.287,0.85,2.448,4.45,14.47,2.2895,2.069
CNC Milling,AISI 1045 Steel,194.9,16.0,4,TiCN,0.118,2.9,258.51,5142.9,0.2166,3.81,12.57,4455.1,Flood Coolant,26.15,213.327,255.3,2224.45,2.998,0.863,1.85,10.898,17.334,4.88,8.7551,0.684
CNC Turning,AISI 1045 Steel,220.5,60.34,1,TiAlN,0.239,6.1,265.08,1398.3,0.1369,0.61,0.14,191.5,MQL (Min Lubrication),0.24,22.131,272.8,412.45,0.944,0.181,0.85,2.175,4.223,11.45,2.1839,1.645
CNC Milling,AISI 1045 Steel,206.4,25.0,4,TiAlN,0.084,-2.3,104.06,1324.9,0.1788,1.35,19.34,947.5,Flood Coolant,31.25,24.74,114.7,688.78,0.914,0.302,1.85,1.413,4.393,10.65,2.6013,1.752
CNC Milling,Ti-6Al-4V Titanium,327.1,32.0,4,TiCN,0.331,-1.4,129.89,1292.0,0.1163,1.6,27.31,601.1,Flood Coolant,25.71,26.278,368.7,1713.04,0.901,0.246,1.85,4.442,7.56,17.26,4.1609,2.639
CNC Turning,Ti-6Al-4V Titanium,333.0,34.72,1,AlCrN,0.45,2.7,77.49,710.4,0.2707,1.12,0.27,192.3,Flood Coolant,31.24,23.555,478.1,2577.14,0.682,0.181,1.85,3.87,6.649,16.94,3.7581,2.659
CNC Turning,Ti-6Al-4V Titanium,324.2,95.92,1,TiCN,0.319,0.7,78.01,258.9,0.2565,0.7,0.26,66.4,MQL (Min Lubrication),0.18,13.935,445.1,1322.57,0.53,0.161,0.85,2.037,3.594,15.48,1.9043,2.278
CNC Turning,AISI 1045 Steel,200.7,90.58,1,TiAlN,0.059,6.2,106.53,374.3,0.2389,2.88,0.24,89.4,MQL (Min Lubrication),0.2,73.2,181.9,1687.42,0.568,0.164,0.85,3.527,5.303,4.35,2.6585,0.605
CNC Milling,AISI 304 Stainless Steel,190.9,25.0,6,TiAlN,0.142,3.9,143.8,1831.0,0.0474,1.87,1.22,521.2,Flood Coolant,30.54,1.195,74.6,45.0,1.127,0.233,1.85,0.125,3.218,161.59,2.055,28.662
CNC Milling,AISI 1045 Steel,217.3,16.0,3,Uncoated Carbide,0.114,2.3,186.8,3716.2,0.1767,2.33,6.26,1969.5,Flood Coolant,28.7,28.687,143.3,421.94,2.09,0.465,1.85,1.568,6.04,12.63,3.3898,1.969
CNC Turning,AISI 1045 Steel,201.4,50.56,1,AlCrN,0.178,-3.3,251.91,1585.8,0.2596,1.3,0.26,411.6,MQL (Min Lubrication),0.18,84.732,341.7,1223.63,1.021,0.216,0.85,6.184,8.212,5.82,4.0651,0.8
CNC Milling,Al 6061-T6 Aluminum,93.9,25.0,6,Uncoated Carbide,0.111,-2.5,301.7,3841.3,0.1519,4.18,21.18,3499.9,Flood Coolant,20.23,309.808,107.7,1817.01,2.163,0.71,1.85,10.802,16.533,3.2,8.3732,0.45
CNC Turning,Inconel 718 Superalloy,407.9,76.69,1,TiCN,0.145,2.3,58.25,250.0,0.3339,0.96,0.33,83.5,Flood Coolant,17.51,18.6,233.4,1720.81,0.527,0.163,1.85,1.893,4.422,14.26,2.6274,2.354
CNC Turning,Ti-6Al-4V Titanium,324.2,97.17,1,AlCrN,0.241,-1.2,74.51,250.0,0.3087,0.7,0.31,77.2,Dry,0.0,15.999,479.9,1470.14,0.527,0.162,0.5,2.094,3.422,12.83,1.7241,1.796
CNC Turning,Inconel 718 Superalloy,394.2,21.76,1,TiAlN,0.093,5.9,36.93,540.2,0.0689,3.68,0.07,37.2,Flood Coolant,18.4,9.35,136.1,1561.88,0.623,0.156,1.85,1.09,3.785,24.29,2.3138,4.124
